"discipline";"bin1.00125";"bin2.00125";"prop.00125";"pval.00125";"bf10.00125";"bin1.005";"bin2.005";"prop.005";"pval.005";"bf10.005";"bin1.01";"bin2.01";"prop.01";"pval.01";"bf10.01"
"All";4597;2565;0.35814018430606;1;0.000325781593319137;6641;4485;0.403109832824016;1;0.000284635100078347;9885;7250;0.423110592354829;1;0.000169871361114824
"Pharmacology And Pharmaceutical Sciences";26;14;0.35;0.981;0.0688536740551639;47;33;0.4125;0.954;0.0558579025756199;80;54;0.402985074626866;0.99;0.0332670346553012
"Medical And Health Sciences";2774;1536;0.356380510440835;1;0.000765866661189276;4082;2715;0.39944092982198;1;0.00066498583649031;6148;4462;0.420546654099906;1;0.000470981171484179
"Chemistry and geology";11;11;0.5;0.584;0.258509740808837;22;17;0.435897435897436;0.832;0.115721631265545;40;29;0.420289855072464;0.926;0.0669122388552703
"Neurosciences";53;32;0.376470588235294;0.992;0.0412803429518426;76;56;0.424242424242424;0.966;0.0404828954227128;107;91;0.45959595959596;0.887;0.0433585404865518
"Multidisciplinary";872;442;0.336377473363775;1;0.00231499151250673;1231;814;0.398044009779951;1;0.00237542852156624;1816;1280;0.41343669250646;1;0.00186005730514899
"Zoology";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Biochemistry And Cell Biology";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Computer sciences";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Biomedical Engineering";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Psychology and sociology";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Animal, veterinary and agricultural science";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Complementary And Alternative Medicine";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Public Health And Health Services";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Informatics, mathematics and physics";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Education";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Microbiology";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ecology, evolution and earth sciences";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Biological Sciences";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Immunology";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Genetics";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Physiology";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Plant Biology";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Geography, business and economics";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Dentistry";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nutrition And Dietetics";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Other";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
