"discipline";"bin1.00125";"bin2.00125";"prop.00125";"pval.00125";"bf10.00125";"bin1.005";"bin2.005";"prop.005";"pval.005";"bf10.005";"bin1.01";"bin2.01";"prop.01";"pval.01";"bf10.01"
"All";26047;18664;0.417436425040818;1;0.00000103784868375751;38537;30406;0.441030996620397;1;0.000000459615892723077;58809;47755;0.448134454412372;1;0.000000019691029289586
"Pharmacology And Pharmaceutical Sciences";162;133;0.450847457627119;0.96;0.0276946767655819;262;206;0.44017094017094;0.996;0.015913925892722;397;321;0.447075208913649;0.998;0.0119152324670956
"Medical And Health Sciences";11855;7759;0.395584786377078;1;0.0000355100796351743;17360;12931;0.426892476313096;1;0.0000247115018985342;26423;20610;0.438202963876427;1;0.00000556386512982117
"Chemistry and geology";73;92;0.557575757575758;0.08;0.537168493618616;133;145;0.52158273381295;0.255;0.148232107936753;227;218;0.489887640449438;0.682;0.0435198775252527
"Neurosciences";1112;982;0.468958930276982;0.998;0.00696875584673358;1666;1538;0.480024968789014;0.989;0.00677724124822648;2606;2371;0.476391400442033;1;0.00394565355099941
"Multidisciplinary";6802;4911;0.41927772560403;1;0.00037788252544249;10283;8181;0.44307842287695;1;0.000300307637724059;15947;12974;0.44860136233187;1;0.000117507871780711
"Zoology";82;73;0.470967741935484;0.789;0.0612205042247396;112;104;0.481481481481481;0.73;0.0578307142499185;187;164;0.467236467236467;0.9;0.0311765309491737
"Biochemistry And Cell Biology";283;288;0.504378283712785;0.434;0.0624027302995199;450;439;0.493813273340832;0.656;0.0320231692354056;693;636;0.478555304740406;0.944;0.0137612790334479
"Computer sciences";310;208;0.401544401544402;1;0.00937359710510053;389;308;0.441893830703013;0.999;0.0113165092291546;468;430;0.478841870824053;0.903;0.0191293147635659
"Biomedical Engineering";162;134;0.452702702702703;0.954;0.0283574861048495;204;172;0.457446808510638;0.956;0.0249266643841651;283;252;0.471028037383178;0.917;0.0239518293512168
"Psychology and sociology";597;507;0.459239130434783;0.997;0.00998490996964172;911;769;0.457738095238095;1;0.00656176113992117;1385;1195;0.463178294573643;1;0.00494771405269062
"Animal, veterinary and agricultural science";105;87;0.453125;0.915;0.0407125233166818;162;124;0.433566433566434;0.99;0.022781967513695;253;187;0.425;0.999;0.0139372637754024
"Complementary And Alternative Medicine";180;139;0.435736677115987;0.991;0.0212155771890822;285;251;0.468283582089552;0.935;0.0225778290279253;440;397;0.474313022700119;0.936;0.0179304256114263
"Public Health And Health Services";879;651;0.425490196078431;1;0.00426672261573294;1148;937;0.449400479616307;1;0.0045428181792277;1595;1358;0.459871317304436;1;0.00402556869883652
"Informatics, mathematics and physics";30;25;0.454545454545455;0.791;0.105163514726111;50;38;0.431818181818182;0.917;0.0605741831070847;72;70;0.492957746478873;0.599;0.0920134001963862
"Education";93;62;0.4;0.995;0.0285145785840463;131;96;0.422907488986784;0.992;0.0249098332158463;182;136;0.427672955974843;0.996;0.0193575512197119
"Microbiology";517;354;0.406429391504018;1;0.0059505896038123;703;547;0.4376;1;0.00612158231846124;1055;848;0.445612191276931;1;0.00463986607955151
"Ecology, evolution and earth sciences";382;335;0.467224546722455;0.964;0.0172968726066027;579;536;0.480717488789238;0.906;0.0170092080281662;936;797;0.459896133871898;1;0.00667242556133803
"Biological Sciences";1043;862;0.45249343832021;1;0.00524757104374816;1603;1365;0.459905660377358;1;0.00400922203554174;2471;2109;0.460480349344978;1;0.00267561111484459
"Immunology";315;220;0.411214953271028;1;0.00998784591128109;482;377;0.438882421420256;1;0.00890893061755189;729;582;0.443935926773455;1;0.00644830761124082
"Genetics";428;341;0.443433029908973;0.999;0.0105701208845683;694;531;0.433469387755102;1;0.005883955165287;1036;860;0.453586497890295;1;0.00538364229657892
"Physiology";232;195;0.456674473067916;0.967;0.0220933867815278;329;317;0.490712074303406;0.695;0.035074976116556;495;468;0.485981308411215;0.817;0.0226497984910425
"Plant Biology";41;40;0.493827160493827;0.588;0.126632871953089;65;58;0.471544715447154;0.765;0.0725124094574615;99;82;0.453038674033149;0.91;0.0426347074134094
"Geography, business and economics";23;21;0.477272727272727;0.674;0.148788862101943;29;26;0.472727272727273;0.705;0.124475046095986;43;40;0.481927710843373;0.67;0.106970147301818
"Dentistry";78;75;0.490196078431373;0.627;0.0839988124968389;126;119;0.485714285714286;0.695;0.0578042393236479;199;185;0.481770833333333;0.778;0.0391600183043543
"Nutrition And Dietetics";261;168;0.391608391608392;1;0.010281973392597;373;287;0.434848484848485;1;0.0107868297263836;576;456;0.441860465116279;1;0.00783219464714595
"Other";2;2;0.5;0.688;0.533333333333109;8;4;0.333333333333333;0.927;0.169852369863818;12;9;0.428571428571429;0.808;0.169766765758815
