"discipline";"bin1";"bin2";"pval";"bf10"
"All";2565;4597;1;0.000651560943714846
"Pharmacology And Pharmaceutical Sciences";14;26;0.981;0.135140246437962
"Medical And Health Sciences";1536;2774;1;0.00153172744265453
"Chemistry and geology";11;11;0.584;0.464301321179562
"Neurosciences";32;53;0.992;0.0819481698562338
"Multidisciplinary";442;872;1;0.00462983629308383
"Zoology";NA;NA;NA;NA
"Biochemistry And Cell Biology";NA;NA;NA;NA
"Computer sciences";NA;NA;NA;NA
"Biomedical Engineering";NA;NA;NA;NA
"Psychology and sociology";NA;NA;NA;NA
"Animal, veterinary and agricultural science";NA;NA;NA;NA
"Complementary And Alternative Medicine";NA;NA;NA;NA
"Public Health And Health Services";NA;NA;NA;NA
"Informatics, mathematics and physics";NA;NA;NA;NA
"Education";NA;NA;NA;NA
"Microbiology";NA;NA;NA;NA
"Ecology, evolution and earth sciences";NA;NA;NA;NA
"Biological Sciences";NA;NA;NA;NA
"Immunology";NA;NA;NA;NA
"Genetics";NA;NA;NA;NA
"Physiology";NA;NA;NA;NA
"Plant Biology";NA;NA;NA;NA
"Geography, business and economics";NA;NA;NA;NA
"Dentistry";NA;NA;NA;NA
"Nutrition And Dietetics";NA;NA;NA;NA
"Other";NA;NA;NA;NA
